date,count
2024-10-22,1
2024-10-23,22
2024-10-24,67
2024-10-25,15
2024-10-26,1
2024-10-28,56
2024-10-29,50
2024-10-30,209
2024-10-31,152
2024-11-01,172
2024-11-02,16
2024-11-04,59
2024-11-05,83
2024-11-06,38
2024-11-07,112
2024-11-08,81
2024-11-10,23
2024-11-11,114
2024-11-12,86
2024-11-13,86
2024-11-14,111
2024-11-15,72
2024-11-16,10
2024-11-17,9
2024-11-18,48
2024-11-19,64
2024-11-20,31
2024-11-21,57
2024-11-22,153
2024-11-23,13
2024-11-24,14
2024-11-25,57
2024-11-26,75
2024-11-27,58
2024-11-28,90
2024-11-29,55
2024-11-30,7
2024-12-01,11
2024-12-02,70
2024-12-03,161
2024-12-04,254
2024-12-05,153
2024-12-06,87
2024-12-07,6
2024-12-08,14
2024-12-09,131
2024-12-10,77
2024-12-11,99
2024-12-12,85
2024-12-13,61
2024-12-14,25
2024-12-15,20
2024-12-16,113
2024-12-17,121
2024-12-18,119
2024-12-19,79
2024-12-20,46
2024-12-22,12
2024-12-23,64
2024-12-24,43
2024-12-25,2
2024-12-26,63
2024-12-27,74
2024-12-28,8
2024-12-29,19
2024-12-30,81
2024-12-31,138
2025-01-01,36
2025-01-02,246
2025-01-03,154
2025-01-04,27
2025-01-05,20
2025-01-06,129
2025-01-07,154
2025-01-08,112
2025-01-09,137
2025-01-10,97
2025-01-11,5
2025-01-12,10
2025-01-13,150
2025-01-14,261
2025-01-15,149
2025-01-16,135
2025-01-17,115
2025-01-18,6
2025-01-19,10
2025-01-20,74
2025-01-21,112
2025-01-22,88
2025-01-23,95
2025-01-24,88
2025-01-25,3
2025-01-26,1
2025-01-27,8
2025-01-28,8
2025-01-29,1
2025-01-30,5
2025-01-31,40
2025-02-01,5
2025-02-02,22
2025-02-03,102
2025-02-04,113
2025-02-05,133
2025-02-06,95
2025-02-07,87
2025-02-08,4
2025-02-09,13
2025-02-10,113
2025-02-11,61
2025-02-12,80
2025-02-13,132
2025-02-14,115
2025-02-15,10
2025-02-16,15
2025-02-17,104
2025-02-18,86
2025-02-19,104
2025-02-20,102
2025-02-21,114
2025-02-22,1
2025-02-23,12
2025-02-24,138
2025-02-25,141
2025-02-26,110
2025-02-27,106
2025-02-28,83
2025-03-01,46
2025-03-02,12
2025-03-03,13
2025-03-04,106
2025-03-05,134
2025-03-06,142
2025-03-07,78
2025-03-08,13
2025-03-09,8
2025-03-10,74
2025-03-11,79
2025-03-12,104
2025-03-13,97
2025-03-14,53
2025-03-15,4
2025-03-16,11
2025-03-17,92
2025-03-18,105
2025-03-19,218
2025-03-20,291
2025-03-21,159
2025-03-22,36
2025-03-23,22
2025-03-24,157
2025-03-25,123
2025-03-26,164
2025-03-27,118
2025-03-28,125
2025-03-29,25
2025-03-30,4
2025-03-31,96
2025-04-01,101
2025-04-02,110
2025-04-03,135
2025-04-04,117
